PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
78,151,1.45,46.43,25.85,30.9,0.13,93.28,195.52,0.2,4.75,0,269
77.5,146.75,1.52,45.32,25.35,25.1,0.13,136.12,197.47,0.2,4.28,0,274
76,141.25,1.6,40.65,22.9,28.08,0.08,112.37,,0.2,3.88,0,274
77,137.75,1.3,41.9,23.32,24.9,0.08,114.45,183.75,0.18,5.75,0,274
82.25,151.75,2.05,63.5,35.45,17.65,0.1,96.6,118.57,0.18,7.5,0.05,274
87,177.75,1.88,43.92,24.93,18.35,0.08,21.8,97,0.2,7.9,0.13,274
81,177,2.55,51.35,29.4,19.7,0.1,13.88,82.3,0.2,7.23,0.1,274
94,188,0.85,35.48,19.57,19.48,0.1,10.78,67.6,0.2,7.6,0.1,274
91,188.75,0.58,23.27,12.88,21.53,0.05,8.25,87.23,0.2,7.57,0.1,274
94.75,149.25,1.5,38.53,21.72,19.35,0.08,8.02,64.67,0.2,7.2,0.08,239
97,159,3.72,72.73,41.7,20.75,0.03,8.15,33.32,0.2,7.43,0.1,239
108.5,181.5,1.62,45.58,25.58,24.97,0,8.27,66.62,0.3,7.88,0.1,195
109.75,170.75,0.4,31.22,16.92,24.55,0,7.82,84.77,0.3,8.35,0.1,197
109,163.5,2.13,44.8,25.57,23.3,0,6.55,35.77,0.3,8.38,0.1,199
109,176.25,2.87,58.7,33.55,24.47,0,5.73,12.73,0.3,8.75,0.1,203
111.25,189.25,5.13,93.83,54.1,24.77,0,5.7,18.13,0.3,8.8,0.1,207
120.25,184.25,9.85,69.32,44.88,25.82,0,6.25,29.9,0.3,8.77,0.1,212
130.5,193.75,1.38,46.75,26,27.62,0,6.83,28.45,0.33,9.17,0.2,216
141.25,196.5,2.2,40.88,23.53,29.6,0,7.4,37.25,0.4,9.72,0.25,222
137.75,204.5,2.32,39,22.68,28.7,0,8.55,53.4,0.5,9.4,0.3,226
116,188.25,1.53,28.78,16.55,26.48,0,9.78,96.02,0.45,9.1,0.28,229
105.75,162.5,1.22,23.38,13.42,23.15,0.05,6.3,114.62,0.33,8.5,0.13,232
100.5,162.25,2.17,19.05,11.88,24.62,0.08,,126.9,0.3,7.92,0.1,235
96.25,158,57.23,98.03,98.7,26.9,0.2,50.92,138.67,0.25,7.2,0.03,238
101,170.25,3.25,78.07,44.18,33.65,0.13,,116.62,0.2,7.95,0,241
113,198,1.45,42.07,23.53,33.55,0.03,117.48,167.6,0.2,8.7,0,246
113.5,200.25,0.63,33.02,18.1,29.33,0.13,60.4,178.35,0.2,9.17,0,251
106.5,192.25,1.03,46.07,25.35,28.15,0.05,101.1,162.2,0.2,8.77,0,255
108,202,1.3,88.4,48.05,23.47,0.08,170.65,123.95,0.2,8.87,0.08,259
128,234.5,2.32,90.33,49.95,19.75,0.2,135,87.23,0.23,9.38,0.25,264
128.75,231.75,1.2,70.75,38.62,19.22,0,54.38,69.6,0.25,9.67,0.3,271
110.5,216.25,0.88,23.55,13.23,16.13,0,5.88,76.43,0.25,8.43,0.15,273
74.5,125,1,25.03,14.15,15.85,0.05,3.78,67.62,0.2,6.7,0.08,271
72.75,120.5,2.18,44.5,25.43,18.95,0.03,5.25,46.55,0.2,6.55,0,268
81,125,2.17,60.82,34.12,17.55,0.03,4.55,28.92,0.2,7.42,0.05,266
83.5,124.25,2.03,44.77,25.42,20.95,0,6.18,42.15,0.2,8.12,0.1,262
78.25,115.75,5.05,59.45,35.73,21.4,0,7.25,21.1,0.2,8.52,0.1,258
84.5,131.25,3.52,62.8,36.25,20.72,0,6.38,10.78,0.2,8.8,0.1,254
77.5,114.5,1.35,44.8,24.93,18.78,0,5.33,13.25,0.2,8.9,0.1,250
56.5,74.75,0.83,47.38,25.85,17.3,0,4.73,18.63,0.2,9.3,0.1,242
44.75,80,2.5,48.87,28,16.22,0,4.43,13.75,0.2,9.25,0.1,232
50.25,125.25,1.48,30.93,17.67,18,0,4.78,42.12,0.2,9.15,0.1,221
54,76,2.38,27,16.3,17.5,0,4.5,49.52,0.2,8.3,0.1,209
59.25,83.25,1.88,21.95,13.17,17.6,0,4.85,56.85,0.2,8.55,0.1,198
67,98,1.72,21.32,12.75,19,0,5.68,66.65,0.2,8.25,0.1,191
68.75,112.25,0.58,14.38,8.1,20.17,0.05,6.37,93.08,0.18,7.78,0.03,186
65,110,1.5,29.62,16.95,20.53,0.08,,99.48,0.1,7.03,0,181
79.5,128.5,56.45,97.62,97.88,23.25,0.1,82.23,132.78,0.1,5.93,0,179
95.75,147.25,0.57,29.62,16.25,26.85,0.08,52.5,169.55,0.18,5.97,0,204
92.5,150.75,0.62,23.95,13.25,21.43,0.1,30.78,165.15,0.2,6.52,0,204
85.25,142.25,1,25.97,14.62,20.8,0.1,43.15,157.3,0.2,6.48,0,204
90.75,155.25,0.63,23.17,12.85,21.85,0.1,18.3,143.08,0.2,5.48,0.03,204
103,177.75,0.58,22.38,12.4,21.53,0.1,14.85,116.1,0.2,3.88,0.1,204
95,159,0.95,23.6,13.33,20.2,0.08,8.92,90.18,0.2,3.8,0.1,204
89,150.25,1.18,28.27,16,19.3,0.05,5.28,64.68,0.2,5.05,0.1,204
87.25,148.5,1.38,29.92,17,19.83,0.1,3.23,47.05,0.2,5.67,0.1,204
83.5,139,0.88,27.03,15.08,20.2,0.1,2.92,45.55,0.2,6.13,0.1,196
88.5,131.5,1.15,28.18,15.9,20.52,0.1,3.13,44.1,0.2,6.57,0.1,184
90,127,0.92,25.78,14.48,20.83,0.05,2.32,42.62,0.2,6.8,0.1,163
78.5,123,0.45,31.5,17.15,20.47,0.05,3.33,33.3,0.2,6.82,0.1,159
87.25,137.75,1.72,38.93,22.15,19.55,0.05,3.7,27.45,0.2,7.4,0.1,160
91.5,159.25,1.73,41.07,23.25,21.33,0,3.9,17.65,0.2,7.6,0.1,161
92.25,142.25,4.15,40.65,24.97,20.67,0,3.65,15.68,0.28,7.95,0.1,163
90.75,133.5,1.07,30.4,17.03,22.15,0,3.62,26.95,0.23,7.93,0.1,168
93.25,131,1.48,37.05,20.87,20.88,0,3.75,25.03,0.3,8.18,0.1,175
92.75,131.25,1.62,34.57,19.7,20.97,0,3.55,21.55,0.3,8.08,0.1,181
85.75,130.75,3.37,37.9,22.88,19.75,0,3.73,21.05,0.3,8.28,0.1,185
83,107.75,4.07,41.17,25.2,21.5,0,4.52,30.88,0.3,8.13,0.1,188
99.25,128.75,1.38,19.78,11.62,21.43,0,5.02,67.62,0.28,7.88,0.1,193
94.25,131,1.17,22.55,12.95,25.32,0,5.47,82.35,0.33,7.12,0.13,196
112.5,150,0.98,13.12,7.75,20.43,0.05,,99.95,0.25,5.32,0.1,203
85,127.5,57.55,88.7,94,18.65,0.1,7.22,110.72,0.2,4.53,0.1,204
86.25,129.5,0.38,14.7,8.12,22.4,0.1,6.18,117.1,0.2,5.48,0.05,202
81.25,123.25,0.13,14.17,7.6,22.77,0.1,5,125.43,0.2,6.12,0,201
84.75,131,0.85,15.95,9.17,23.67,0.1,5.1,133.27,0.2,6.85,0,201
91.5,139.5,0.78,14.62,8.42,23.78,0.1,6.23,128.9,0.2,6.88,0,201
85,126.75,0.32,14.22,7.83,22.35,0.1,6.45,109.27,0.2,6.45,0,198
79.5,124.75,0.58,21.45,11.87,20.6,0.1,6.3,75.47,0.2,5.98,0,196
82.5,137.5,0.95,24.15,13.63,20.25,0.1,6.2,60.77,0.2,6.75,0.1,195
82,126.25,0.35,17.6,9.62,19.62,0.1,5.52,49.5,0.2,6.5,0.08,195
67,106,0.67,16.68,9.38,19.88,0.1,5.5,44.1,0.2,6.27,0,192
71.25,114.5,0.93,23.05,13.05,20.35,0.05,4.73,35.75,0.2,7.05,0.08,190
75,122,0.78,20,11.23,21.07,0.05,4.23,35.78,0.2,7.43,0.1,188
81,114.25,0.25,23.9,12.9,22.52,0.05,4.6,31.87,0.2,8.08,0.1,188
83.75,118.75,0.2,25,13.48,27.05,0.05,4.97,29.4,0.2,8.58,0.1,188
83.5,112,0.1,18.85,10.1,23.48,0.08,5.68,28.43,0.2,9.12,0.1,187
82.75,112,0.18,17.4,9.38,20.7,0.08,5.3,31.88,0.2,9.25,0.1,185
76,115.25,0.08,16.22,8.67,19.6,0,6.02,48.5,0.2,8.9,0.1,183
75.5,125.25,0.52,19.02,10.52,19.43,0,6.35,41.17,0.2,8.75,0.1,181
76.5,124.75,0.9,15.15,8.78,20.1,0,4.72,49,0.2,8.67,0.1,178
87,124,2.25,28.8,17.15,22.58,0,6.15,30.87,0.3,8.35,0.15,179
93.75,130,1.93,20.15,12.3,23.52,0,7.2,52.9,0.38,7.55,0.23,180
83.75,115.75,0.75,10.42,6.15,21.6,0,9.3,89.2,0.23,7.3,0.13,178
76.75,103.5,0.65,10.6,6.18,21.7,0.08,9.1,101.43,0.18,6.8,0.05,176
84,115.25,1.53,9.85,6.48,19.03,0.1,,109.25,0.1,6.62,0,172
77.5,117,57.05,85.68,92,17.25,0.1,13.5,117.1,0.1,6.33,0,171
66.25,108,0.3,12.08,6.65,20.55,0.1,11.77,117.57,0.1,6.65,0,168
65.75,100.5,0.35,13.97,7.65,20.1,0.1,18.3,122,0.1,7.05,0,166
70.25,105.5,0.38,15.22,8.4,20.2,0.1,21.15,126.92,0.1,7.25,0,164
67.25,107.25,0.58,15.52,8.77,19.45,0.1,12.77,123.98,0.1,7.75,0,160
65,108,0.18,16.02,8.62,18.75,0.1,9.5,114.15,0.1,7.5,0,157
63.5,108,0.5,21.27,11.75,17.78,0.1,9.23,86.75,0.1,6.8,0,155
67,118.25,0.18,27.33,14.67,18.32,0.08,8.6,63.2,0.15,7.2,0.05,153
80.5,136,0.2,23.12,12.45,18.15,0.03,7.85,52.42,0.2,7.6,0.1,153
75.5,121.25,0.85,24.65,13.83,18.4,0,9.07,39.2,0.2,7.7,0.1,154
73.25,110.25,0.33,22.28,11.95,17.83,0,5.78,36.75,0.2,7.8,0.1,154
70,104,0.38,17.8,9.72,17.27,0,6.6,37.2,0.2,8.1,0.1,154
70,106.75,0.35,19.7,10.77,18.75,0.03,5.45,30.9,0.2,8.23,0.1,152
72.75,105.75,,19.22,10.1,18.77,0.03,3.1,30.37,0.2,8.2,0.1,151
72.25,97.5,0.33,19.22,10.47,18.5,0,3.55,20.05,0.2,8.03,0.1,149
71.75,99.75,0.38,15.7,8.65,18.62,0,3.32,27.92,0.2,7.98,0.1,147
67.75,93.25,0.5,14.23,8,19.65,0,3.72,29.88,0.2,7.95,0.1,146
67,93.75,0.55,16.22,9.05,19.03,0,4.27,28.92,0.2,8.17,0.1,145
68.25,92.75,0.72,18.22,10.38,18.67,0,4.35,29.9,0.2,8.3,0.1,144
73.5,95.75,3.8,25.88,16.85,20.33,0.03,4.58,27.92,0.2,8.55,0.13,142
78,108.25,1.43,16.87,10.12,21.57,0.08,5.48,42.63,0.2,8.48,0.23,140
78.25,110.75,0.95,16.92,9.83,20.75,0.03,7,60.75,0.2,7.57,0.13,139
77.75,104.5,0.9,12.1,7.15,20.53,0.08,6.15,81.35,0.15,6.42,0.1,139
74.25,100.25,0.82,13.95,8.13,19.65,0.1,,89.2,0.1,5.43,0.03,138
72,105.75,56.6,86.93,92.32,18.72,0.1,7.35,90.67,0.1,4.9,0.05,137
62,91.75,0.38,12.35,6.88,18.75,0.1,5.52,89.2,0.1,4.55,0,137
56.75,85.25,0.65,12.67,7.27,18.73,0.1,3.97,88.2,0.1,5.15,0,135
48,77.5,0.87,12.5,7.4,18.7,0.1,1.95,90.67,0.1,4,0,132
43.25,79.5,1.43,14.45,8.82,18.05,0.1,2.43,89.17,0.1,2.68,0,129
51.5,88.75,0.45,14.97,8.28,18.57,0.1,3.45,87.72,0.1,3.1,0,127
64.75,114.25,0.47,17.83,9.85,16.97,0.1,5.25,70.05,0.1,4.55,0,127
64,121,0.77,28.4,15.75,16.17,0.1,6.38,55.38,0.15,5.8,0,127
67,118.25,0.53,22.78,12.55,17.6,0.05,5.3,46.05,0.15,6.9,0.08,125
66.25,105.75,0.4,19.92,10.95,18.05,0.05,4.33,39.2,0.1,6.83,0.08,124
72.5,107.5,0.43,17.25,9.55,18.35,0.05,4.65,34.8,0.1,6.65,0.03,124
71,97,0.73,20.12,11.3,18.95,0.1,4.7,31.87,0.1,6.7,0.1,124
68,105,0.43,16.5,9.18,19.88,0.1,6.12,36.25,0.13,7.65,0.1,123
65.75,93,0.23,20.68,11.15,21.05,0.08,5.18,27.45,0.1,7.33,0.1,122
66.75,95,0.7,29.72,16.4,22.53,0.05,6.05,12.25,0.15,7.9,0.1,122
71.25,93.75,1.5,39.35,22.13,19.95,0.05,6.1,11.75,0.2,8.37,0.1,122
69.5,96.25,0.95,21.35,12.12,19.75,0,5.83,15.7,0.18,8.47,0.1,122
72.75,92,0.65,24.83,13.72,19.28,0.03,5.67,15.67,0.2,8.53,0.1,123
80.5,108.75,1.22,24.27,13.9,22.05,0,4.58,17.15,0.25,8.67,0.13,124
90.25,125,2.67,24.6,15.25,21.87,0,5.15,19.6,0.3,8.35,0.18,127
93.75,127.5,4.08,27.38,17.85,21.98,0,5.5,29.38,0.35,7.62,0.2,129
79.5,111.5,0.83,16.7,9.6,19.33,0,3.92,62.25,0.25,7.72,0.1,129
65,95,1.33,13.88,8.48,20.4,0.05,3.88,70.07,0.18,7.9,0.05,127
63,97,1.05,17.78,10.32,20.7,0,,78.9,0.1,7.57,0.03,126
68.5,103.25,57.25,89.27,94.12,19.75,0.1,6.25,75.47,0.1,6.12,0.05,125
70,100.75,1,15.72,9.2,22.67,0.1,7.72,64.17,0.1,4.28,0,126
50.75,87.5,0.98,11.83,7.1,21.55,0.1,13.4,72.52,0.1,4.55,0.03,125
47.25,77.75,0.7,14.33,8.2,21.28,0.1,11.25,82.8,0.1,4.55,0,125
48,80,1.62,16.03,9.9,21.7,0.1,10,85.75,0.1,4.27,0,126
55.5,102.5,1.4,18.52,10.98,19.1,0.1,6.85,74.48,0.1,3.27,0,127
62.25,116.25,1.65,24.05,14.12,17,0.1,6.12,62.72,0.1,3.85,0,126
61.25,127.25,2,25.53,15.2,18.55,0.1,6.25,53.9,0.1,4.73,0,126
68,120,1.57,30.35,17.45,18.6,0.1,5.78,42.15,0.1,5.38,0,126
76.25,119.25,1.9,39.57,22.58,18.8,0.08,5.78,25.47,0.1,6.18,0.08,127
75.5,135.5,2.5,47.88,27.48,20.15,0.08,5.77,27.45,0.2,7,0.1,128
80.5,138.25,1.8,51.73,29,18.93,0,6.52,27.92,0.2,7.25,0.1,129
81.25,139.75,2.22,55.05,31.1,23.07,0,6.1,18.13,0.2,7.45,0.1,131
79.25,132.25,1.3,45.32,25.15,22.28,0,5.03,22.52,0.2,7.85,0.1,133
80.75,129.25,4.47,57.82,34.4,21.3,0,4.98,12.73,0.2,8.2,0.1,135
83.25,129.75,10.78,73.75,47.97,21.2,0,5.33,4.4,0.2,8.37,0.1,136
82.25,134.75,5.3,70.62,41.85,21.9,0,4.6,4.9,0.2,8.25,0.15,138
77,125,12.63,74.53,49.92,18.18,0,4.95,6.35,0.25,8.25,0.18,139
78.5,133.25,16.85,65.5,48.5,21.82,0.03,6.3,3.9,0.33,8.47,0.2,139
74,136.5,35.93,93.02,78.68,22,0.03,7.77,7.85,0.33,8.62,0.25,136
82.5,136.75,3.68,30.25,19.1,25.45,0.05,8.08,34.3,0.4,8.67,0.3,135
78,111.5,2.25,23.67,14.43,22.17,0.03,10.22,61.75,0.33,8.05,0.2,135
66.5,100.5,1.83,22.37,13.37,20.3,0,8.18,77.9,0.23,7.15,0.1,135
64.25,97,2.05,15.83,10.1,28.08,0.08,,82.8,0.15,6.05,0.1,135
51.5,88.5,55.65,88.93,92.63,32.38,0.15,5.48,91.62,0.1,5.9,0,133
48.5,84.25,1.03,18.45,10.62,23.5,0.13,9.17,99.48,0.1,6.5,0.08,130
51.75,91.5,1.23,18.4,10.75,21.88,0.1,8.9,94.07,0.1,3.7,0,130
46,83.5,1.1,16.15,9.52,21.45,0.1,9.38,94.57,0.1,3.85,0,130
41.75,83.5,1.25,19.35,11.35,20.68,0.1,9.65,95.05,0.1,4.07,0,129
47,87.5,1.83,21.75,13.02,20.05,0.1,8.23,81.35,0.1,4.8,0,127
50.25,99.5,2.5,40.77,23.7,18.3,0.1,7.6,54.88,0.1,4.7,0,126
62,151,3.25,58.55,33.75,18.25,0.08,8.1,37.72,0.13,5.77,0.1,126
65.75,170.75,4.3,45.27,27.57,19.18,0.03,7.5,35.77,0.15,6.65,0.1,126
58.25,123.25,1.68,37.73,21.43,18.78,0.03,7.25,29.4,0.2,7.07,0.13,123
60,107.5,1.82,38.25,21.82,19.22,0.03,6.55,24.02,0.2,7.77,0.13,121
64.25,117.75,3.53,51.38,30.2,19.4,0,6.5,20.08,0.2,7.67,0.1,119
67,124.5,1.33,49.25,27.28,20.15,0.03,6.43,19.12,0.2,7.72,0.13,117
72.75,116.75,1.05,44.4,24.45,21.1,0,6,21.07,0.2,7.93,0.1,116
69.5,107.75,3.05,51,29.65,20.45,0,6.75,17.62,0.2,8.28,0.13,114
63.25,110.25,7.43,59.5,37.65,21.92,0.05,6.8,8.33,0.2,8.65,0.3,111
65.75,112.75,19.15,69.85,52.75,19.07,0.1,6.2,3.9,0.2,8.67,0.3,109
63.25,117.75,10.2,56.92,38.55,20.48,0.05,5.33,3.9,0.2,8.67,0.3,108
67.25,114.75,9.4,75.78,47.93,19.03,0.08,4.65,4.4,0.2,8.5,0.3,108
73.25,115.5,14.63,68.83,48.55,23.55,0.03,6.75,11.25,0.33,8.48,0.28,107
87.5,134.5,4,34.37,21.53,24.58,0,7.7,32.32,0.3,8.08,0.28,107
78.25,119.25,1.93,23.03,13.82,23.15,0,11.45,67.6,0.28,7.05,0.18,107
65.75,108.75,0.92,26.35,14.8,22.28,0.05,10.88,90.17,0.2,6.75,0.1,107
68,114.75,1.43,18.05,10.75,24.45,0.08,,99.45,0.2,6.35,0.1,108
57.5,96.75,56.8,91,94.68,24.15,0.1,11.15,99.98,0.1,5.58,0.08,108
55.25,92.25,1.3,18.2,10.67,23.78,0.1,11.08,105.35,0.1,5.38,0.03,109
60.25,97.75,1.38,17.4,10.38,23.72,0.1,10.92,105.33,0.1,4.7,0.05,110
53.5,93,1.35,26.27,15.05,26.37,0.1,17.08,103.9,0.1,4.25,0.03,111
50.75,91.5,1.9,24.8,14.75,25.35,0.13,10.58,101.93,0.1,5.37,0,112
55.5,99,2.55,29.25,17.65,17.38,0.1,9.7,87.2,0.1,4.93,0,113
54.25,111.5,1.95,37.35,21.45,17.55,0.1,9.1,62.72,0.1,4.85,0,114
57.25,127.75,2.47,40.5,23.52,18.2,0.1,9.8,51.45,0.1,5.5,0.1,113
63.75,137,3.45,43.1,25.75,17.27,0.1,9.75,41.65,0.13,5.88,0.1,113
66.75,136.25,11.2,75.95,49.53,18.6,0.03,9.55,19.1,0.2,6.65,0.15,114
79,189.5,5.22,57.07,34.65,19.72,0,8.88,28.92,0.2,7,0.13,117
82,140,26.82,129.67,90.8,21.9,0.05,10.65,10.78,0.28,7.6,0.25,119
92.75,190.75,14.1,84.52,56.48,21.73,0.03,7.68,10.28,0.3,7.72,0.3,123
87.75,162.75,13.02,85.83,56.25,23.15,0,7.35,11.28,0.3,7.95,0.23,125
91.5,160.25,16.68,89.98,61.4,22.73,0.03,7.03,5.9,0.3,8.03,0.23,128
85,145.25,17.38,95.12,64.75,20.75,0,6.88,8.33,0.3,8.23,0.25,131
79,116,11.17,65.55,43.92,19.65,0,6.25,5.4,0.28,8.12,0.2,133
76.25,130,20.32,106.1,72.95,22.83,0,6.07,5.4,0.3,8.1,0.2,134
85.75,145.25,12.8,73.3,49.4,21.62,0,5.48,4.9,0.28,8.15,0.2,137
84.25,156,5.5,43.42,27.55,25.4,0,5.45,20.58,0.3,8.25,0.2,139
83,133.25,2.7,27.12,16.63,24.77,0,7.85,43.1,0.3,7.93,0.2,138
79.5,128.25,1.5,14.92,9.15,24.6,0,11.45,74.48,0.23,7.6,0.18,138
59.25,98.75,0.85,14.17,8.25,22.7,0.03,10.37,86.75,0.18,7.62,0.33,137
55,89.75,9.82,14.65,15.73,21.32,0.1,195,89.17,0.1,6.43,0.13,135
50.5,92.25,56.25,94,95.8,32.2,0.6,10.62,98.48,0.1,6.17,0.1,134
56,93,1.72,23.53,13.9,27,0.95,12.55,105.38,0.1,6.08,0.03,135
60,96.25,1.08,27.22,15.38,23.65,0.52,43.93,107.3,0.1,3.88,0,134
65,110.5,1.77,49.68,27.9,20.67,0.13,120.27,96.52,0.1,4.7,0,136
72.25,125,1.85,47.78,26.93,20.43,0.08,117.1,100.45,0.1,5.2,0,139
76.5,133,1.67,48.2,27.03,18.25,0.1,84.82,92.62,0.1,4.48,0,142
75,147,1.67,25.2,14.8,16.5,0.1,11.62,76.95,0.1,5.42,0,145
66,141.25,1.47,27.43,15.78,17.22,0.1,11.1,71.55,0.1,4.7,0,146
70.25,135.5,2.3,47.72,27.25,17.93,0.1,11.78,52.45,0.1,4.05,0.03,147
87,153.5,2.8,55.1,31.55,20.18,0.1,10.33,39.2,0.18,5.25,0.08,150
91.5,164.75,4.12,66.4,38.68,17.98,0,9.83,30.37,0.2,6.15,0.1,152
93,167,1.93,51.67,29.05,19.43,0,8.97,31.85,0.2,6.8,0.1,153
102.75,175.5,10.98,95.4,59.68,21.05,0,8.67,10.28,0.2,7.23,0.1,154
108,184.5,1.5,47.03,26.25,21.5,0,8.28,33.35,0.2,7.65,0.15,157
101.25,167,3.6,63.4,36.67,20.12,0,8.15,21.05,0.2,7.88,0.18,159
99.25,170.25,10.05,72.75,46.85,19.83,0,7.13,11.75,0.2,7.7,0.15,161
96.75,182.5,0.5,45.15,24.42,19.75,0,6.35,22.08,0.2,7.2,0.1,163
88.75,161.75,1.57,50.17,27.97,20.38,0,6.25,18.6,0.2,7.07,0.1,165
93,161.75,1.3,44.47,24.7,20.12,0,7.42,17.65,0.2,7.33,0.1,166
100,182,15.1,73.83,51.58,21.9,0,9.75,15.68,0.2,7.6,0.13,168
120,193.25,3.52,34.53,21.25,21.55,0,10.08,44.58,0.3,7.95,0.28,173
88,141,1.4,20.47,12.02,21.2,0,12.75,75.95,0.2,6.75,0.1,174
80.25,121,0.55,12.2,6.95,21.03,0.03,11.72,88.67,0.15,6.67,0.05,177
72.5,106.5,1.63,12.95,8.2,18.82,0.08,,93.57,0.1,6.72,0,180
66,107.25,58.93,87.72,94.55,16.6,0.1,18.25,99.45,0.1,5.52,0,182
68.75,106.75,0.88,14.8,8.58,21.45,0.1,12.35,105.85,0.1,4.18,0,184
67.75,111.25,0.45,14.67,8.15,20.53,0.1,13.55,106.83,0.1,4.05,0,185
65.5,107.5,0.48,13.9,7.77,19.6,0.1,13.38,107.33,0.1,4.53,0,185
58.25,100.5,0.65,12.27,7.08,17.78,0.1,14.3,97.5,0.1,3.9,0,183
47,95,0.98,14.5,8.5,16.2,0.1,16.6,88.7,0.1,2.38,0,179
46.5,102.5,0.78,18.25,10.38,15.85,0.1,13.67,79.4,0.1,2.8,0,175
58,127.5,1.1,26.9,15.2,16.9,0.1,12.8,67.12,0.1,3.43,0,174
72,148,0.6,28.62,15.67,17.47,0.08,10.75,65.67,0.13,4.28,0.03,174
80,136.5,0.73,28.05,15.5,17.43,0.1,11.35,67.6,0.1,4.85,0,173
84.75,147.75,0.45,31.97,17.4,17.4,0.1,11.38,63.72,0.18,5.5,0.08,172
78.75,148.5,0.95,31.1,17.33,17.32,0.05,10.4,65.65,0.15,6.25,0.03,170
72.5,138.75,1.58,30.6,17.57,20.18,0.08,9.07,63.2,0.1,6.52,0.03,166
74,123,0.93,35.77,19.8,18.88,0.08,7.25,56.85,0.1,6.57,0,161
87.25,142.5,0.7,47.15,25.67,21.05,0.03,5.83,25.95,0.1,6.75,0.03,159
87,150,1.5,54.58,30.25,23.62,0.03,5.53,13.23,0.18,6.98,0.08,157
100,183.75,3.32,67.23,38.47,21.43,0,4.43,9.78,0.2,7.1,0.1,158
94.5,191.5,10.22,89.55,55.95,17.8,0,4.57,7.83,0.2,7,0.1,159
94.75,160.75,8.32,55,36.08,20.57,0,3.82,12.75,0.2,7.07,0.1,159
97,186.75,19.8,82.4,59.95,19.5,0,4.87,10.78,0.23,7.22,0.13,158
112,191.5,8.85,49.17,33.35,24.88,0.05,6.53,30.85,0.33,7.45,0.25,157
98.75,147,1.53,24.62,14.33,20.1,0.03,9.6,73,0.33,7.17,0.13,159
86.25,129.5,2.28,32,18.85,19.5,0.05,13.67,92.62,0.3,6.67,0.1,160
80.75,131.5,1.92,19.5,11.95,21.62,0.08,,101.93,0.23,5.75,0.1,161
59.75,104.25,58.32,98.55,99.9,16.7,0.1,19.17,101.93,0.13,4.93,0.03,160
56.5,102.75,1.45,22.03,12.9,19.55,0.1,18.83,109.28,0.1,3.72,0.03,158
65.25,113.75,1.22,24.05,13.8,19.2,0.1,17.45,107.8,0.1,3.23,0,158
59.25,111.5,1.05,21.38,12.23,19.43,0.1,15.22,103.38,0.1,3.57,0,157
58,106.5,1.38,19.52,11.53,18.1,0.05,14.82,99.98,0.1,3.97,0,157
60.75,107.75,1.47,22.17,12.97,17.12,0.1,13.75,89.17,0.1,3.77,0,159
63.5,128,3.47,46.35,27.47,14.92,0.08,12.08,59.77,0.1,3.75,0.03,161
71.25,157.75,1.75,31.25,18.05,16.18,0.03,11.45,64.7,0.1,4.6,0.08,163
63.25,136.5,1.67,39.72,22.5,15.53,0.1,9.9,50.95,0.1,3.7,0,162
68.5,143.75,4.25,68.37,39.82,16.73,0.1,9.38,27.92,0.15,4.35,0.05,160
89,191.25,5.68,76.7,45.43,18.88,0.05,9.77,25.45,0.2,5.52,0.1,161
105.25,208,5.62,77.75,45.93,15.5,0,9.05,23.5,0.2,6.23,0.1,165
90.75,213.25,1.25,50.2,27.75,18.82,0,8.18,30.87,0.2,6.45,0.1,167
91.5,178.5,18.12,95.2,65.35,17.48,0,8.67,21.07,0.2,6.73,0.1,170
91.5,195.5,2.6,56.65,32.25,18.1,0.03,7.98,23.02,0.2,6.93,0.1,170
84,138.5,10.95,77.12,49.95,18.45,0,8.8,13.2,0.2,7.1,0.1,170
93.25,149.25,5.83,66.58,40.15,21.4,0.03,7.65,19.6,0.25,7.35,0.1,169
98.25,157.5,1.8,38.82,22.1,20.88,0.05,7.35,29.4,0.3,7.5,0.1,169
85.5,127.75,4.65,58.25,34.75,20.45,0,7.23,20.58,0.3,7.52,0.13,168
89.5,134.75,4.75,52.5,31.78,23.1,0.03,8.18,30.38,0.3,7.83,0.18,167
88.25,140.75,3.17,35.97,21.72,21.2,0.05,10.48,47.55,0.3,8.78,0.2,164
87,138.75,2.48,30.15,18.03,21.87,0,12.08,64.7,0.3,6.95,0.15,162
77.5,122.25,2.1,23.8,14.35,21.62,0,14.88,84.27,0.2,6.5,0.1,161
65,106.75,10.43,36.45,27.8,21.65,0.1,,91.15,0.13,5.08,0.05,159
58.5,93.5,57.3,94.7,97,26.7,0.13,11.7,96.05,0.1,4.62,0,158
57,92,1.5,20.08,11.92,27.47,0.1,10.85,101.43,0.1,5.05,0,159
57.5,94,1.03,22.75,12.92,18.22,0.1,11.4,102.9,0.1,5.83,0.03,157
61.75,103,1.92,23.1,13.82,18.47,0.1,12.77,106.8,0.1,3.92,0,158
61.75,105.75,1.78,30.75,17.83,19.45,0.1,17.62,103.9,0.1,3.83,0.05,158
67.5,119.5,1.5,27.75,15.98,19.4,0.1,15.07,96.05,0.1,4.95,0,159
70.75,137.75,1.55,30.32,17.38,17.9,0.1,9.5,67.6,0.1,4.45,0,160
71,163.75,1.52,22.27,13.07,18.2,0.1,8.9,70.57,0.1,3.4,0,160
