PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
71,115,3.7,35.1,21.7,12.28,0.1,,143.1,0.2,4.38,0,216
63.5,109,79.87,76.3,105.52,2.37,0.1,114.75,158.27,0.18,4.83,0,216
65,118.5,1.4,26.05,15,17.35,0.13,88.42,178.88,0.18,5.1,0.05,227
65.25,111,2.07,32.22,18.82,12.58,0.1,104.4,165.62,0.13,5.95,0.08,227
66,111,4.4,39.7,24.7,10.1,0.1,118.5,156.8,0.1,5.9,0,227
,,,,,,,,,,,,227
,,,,,,,,,,,,227
,,,,,,,,,,,,227
,,,,,,,,,,,,227
,,,,,,,,,,,,227
,,,,,,,,,,,,198
,,,,,,,,,,,,196
,,,,,,,,,,,,188
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
59,97.5,1.8,21.2,12.75,14,0.1,23.7,179.35,0.15,2.9,0,
59.25,97.5,2.2,20.33,12.58,16.45,0.08,26.4,181.3,0.13,3.23,0,
59.5,94.25,1.8,20.2,12.2,11.23,0.1,28.6,189.15,0.1,3.98,0,
58.25,91,2.43,23.45,14.45,10.55,0.1,30.7,194.02,0.1,4,0,
58.5,97,2.22,24.1,14.65,11.17,0.1,29.25,182.78,0.1,4.4,0.03,
58.75,102,1.8,35.4,20.3,8.78,0.1,17.17,108.27,0.15,4.15,0.08,
64,117,2.2,29.37,17.38,8.6,0.1,12,98.98,0.2,4.5,0.1,
66,115,9.5,63.95,41.75,7.98,0.1,11.05,61.23,0.25,6.4,0.25,
71.5,124.25,1.37,19.7,11.6,11.35,0.08,9.88,117.1,0.2,7.38,0.13,
77.5,105.5,1.25,22.45,12.92,10.33,0.1,10.55,111.23,0.2,7.33,0.1,
73.75,104,1.55,28.57,16.48,15.2,0,9.7,96.55,0.28,6.9,0.1,
75.25,113.5,0.98,19.43,11.12,16.45,0.33,9.1,94.07,0.23,6.9,0.05,
75.25,115,1.15,18.18,10.62,20.55,0.2,7.65,94.05,0.3,7.18,0.08,
85,124,0.68,20.53,11.48,15.17,0.28,8.65,87.22,0.3,7.65,0.1,
99,151.75,0.75,17.85,10.13,11.55,0.1,10.02,71.05,0.3,8.57,0.13,
110.5,150.25,0.25,14.75,8.02,10.88,0.1,9.1,81.35,0.3,6.77,0.1,140
102.5,140.5,0.48,14.47,8.1,11.9,0.1,9.67,106.3,0.3,5.67,0.1,146
105.5,140.5,0.35,15.37,8.25,13.88,0.1,10.08,101.45,0.3,6,0.1,152
103.5,137,2.37,35.1,20.6,17.78,0.1,10.7,80.38,0.3,5.3,0.1,157
95,142.75,3.4,33.67,20.68,14.95,0.2,14.47,88.2,0.3,6.4,0.13,160
96.75,144.75,3.47,28.15,17.83,17.95,0.5,14.15,105.85,0.3,5.98,0.1,163
80.25,122,3.25,22.62,14.7,10.25,0.3,14.6,117.13,0.25,5.47,0.1,163
61,101.25,1.97,13.97,9.08,10.03,0.1,10.9,128.88,0.15,3,0.05,160
37,75,2.2,10.08,7.15,7.65,0.1,,126.9,0.1,1.7,0,155
,,82.8,60.2,99.35,,0.1,10.92,127.42,0.1,1.45,0,157
31.75,63.25,2.15,12.7,8.5,8.63,0.1,11.88,137.7,0.1,1.63,0,155
37,67.25,1.57,14.35,8.87,7.9,0.1,11.85,153.85,0.1,1.78,0,179
48.75,81.5,2.65,20.15,12.88,11.67,0.1,10.75,164.62,0.1,2.12,0,195
59.25,100.5,1.35,26.2,15.02,12.8,0.25,11.55,165.12,0.2,3.25,0,196
69.5,125.5,3.08,36.67,22.02,10.87,0.25,12.75,141.12,0.2,4.5,0.05,196
75.25,146.25,1.42,31.68,17.97,9.8,0.1,11.17,111.7,0.2,5.25,0.25,196
57.5,120.25,2.02,19.97,12.25,8.57,0.1,7.57,96.05,0.15,4.58,0.08,196
47,83.25,1.45,11.48,7.28,7.98,0.1,7.6,104.88,0.1,4.55,0.03,196
49.25,84,1.15,14.05,8.4,8.55,0.1,8.88,95.52,0.13,3.9,0.03,196
65,111.25,4.55,45.3,27.78,15.97,0.1,8.72,52.93,0.25,3.35,0.23,196
72.75,132.75,0.38,22.4,12.2,16.12,0.3,8.58,79.38,0.3,4.43,0.08,196
70.5,118.5,1.47,21.55,12.65,12.33,0.45,10.35,81.33,0.23,5.2,0.23,160
86,139.5,0.85,19.85,11.25,12.18,0.1,13.5,87.72,0.2,5.73,0.15,141
94.25,141.5,0.45,19.3,10.65,11.2,0.08,13.4,77.42,0.28,5.58,0.1,140
84,122.25,0.78,17.5,9.98,10.88,0.1,14.25,78.9,0.2,4.7,0.08,136
76,111.25,0.1,14.98,8,10.35,0.1,12.9,103.88,0.2,4.73,0,132
70.25,103.5,1.43,18.03,10.77,10.2,0.1,12.82,98,0.18,4.77,0.03,127
74,110.25,2.98,36.93,22.1,9.73,0.1,13.6,82.8,0.2,4.53,0.08,123
79.5,124,2.22,26.42,15.87,11.05,0.1,15.87,100.45,0.2,4.52,0.18,121
68,115.75,1.88,20.97,12.67,11.35,0.1,18.4,113.67,0.2,4.05,0.15,120
63.75,107.5,1.9,14.03,9,11.83,0.1,19.25,136.25,0.15,2.88,0.05,153
59.75,102.5,1.65,17.07,10.4,10.62,0.1,17.27,142.58,0.1,1.75,0,163
59.75,102.5,2.53,16.25,10.68,9.48,0.1,,149.95,0.1,1.58,0,173
60.75,104.25,81.25,60.75,98.4,2.98,0.1,17.5,148.97,0.1,2.05,0,173
58.75,97.75,1.12,14.55,8.65,11.28,0.1,16.45,154.35,0.1,2.22,0,180
61.25,101,1.27,13.53,8.23,11.77,0.1,16.1,161.22,0.1,2.52,0.03,190
53.75,95.75,1.12,14.28,8.5,10.32,0.1,15.62,156.3,0.1,2.27,0,190
60.5,106,1.03,16.72,9.72,11.15,0.1,14.75,163.15,0.13,2.02,0,193
78,136.5,2.07,26.88,15.93,10.77,0.1,15.4,159.25,0.2,2.37,0.13,193
85.75,152,1.52,16.25,9.88,11.55,0.1,12.65,127.38,0.2,3.18,0.08,193
70,129.75,1.37,16.7,9.98,10.9,0.1,10.98,107.3,0.1,3.32,0,193
61,99,1.37,10.8,6.87,11.37,0.1,11.03,117.12,0.1,3.58,0,193
60,98.75,1.27,10.35,6.55,11.98,0.1,11.08,112.67,0.1,3.57,0,193
67,104.25,0.5,17.88,9.98,11.4,0.1,11.92,94.07,0.15,2.98,0.08,193
70,114,1.22,21.4,12.35,13.12,0.1,12.05,76.45,0.2,2.85,0.13,193
83,122.5,0.72,13.93,8,16.7,0.1,9.88,102.9,0.28,3.45,0.08,187
77.25,110.25,0.2,10.77,5.9,14.52,0.13,9.9,111.72,0.2,3.38,0,140
89,116,0.62,13.7,7.72,16.03,0.13,10.15,90.68,0.2,3.27,0,132
93.25,121,0.03,14.12,7.45,12.17,0.1,14.25,84.75,0.2,3.18,0,133
84.75,113.5,0.25,12.2,6.7,10.38,0.1,15.6,103.88,0.2,2.55,0,135
73.75,101,0.83,17.9,10.17,9.15,0.1,16.22,91.12,0.15,2.22,0,135
71.75,108.75,3.12,28.7,17.78,9.17,0.1,14.47,75.48,0.2,3.88,0.08,135
77.25,122.75,2.83,28.52,17.5,10.42,0.1,15.95,80.83,0.2,4.95,0.15,134
75.5,119,2.4,19.12,12.12,10.38,0.1,19.25,106.32,0.2,4,0.13,135
66,108,1.62,13.52,8.53,10.32,0.1,20.2,140.6,0.2,2.72,0.08,160
60.25,103.75,0.83,13.87,8.05,10.75,0.1,15.22,148.95,0.13,1.5,0,172
60.75,106.75,2.05,12.15,8.1,8.75,0.1,,149.95,0.1,1.53,0,173
58.25,98.25,79.98,63.35,98.67,2.37,0.1,15.98,152.37,0.1,1.77,0,177
54.5,92.75,1.2,12.7,7.77,11.25,0.1,15.8,153.85,0.1,1.92,0,179
60.5,96.5,1.08,16.25,9.5,11.1,0.1,17.15,167.1,0.1,2.12,0,199
68.75,115.5,1.4,17.6,10.48,12,0.08,18.72,185.7,0.18,2.3,0,244
82.25,134.75,0.97,19.52,11.15,15.33,0.08,14.78,191.6,0.2,2.15,0,259
95,149.75,1.87,29.95,17.45,11.7,0.13,15.33,162.67,0.15,2.55,0.05,259
100.25,152.5,1.38,13.73,8.38,8.83,0.1,10.75,132.78,0.23,4.07,0.13,259
60.25,95.5,0.88,9.85,5.97,8.23,0.1,8.92,136.7,0.13,3.18,0,259
56.5,84.5,1.2,12.1,7.4,8.27,0.1,9.1,131.32,0.1,2.72,0,259
